iter	Passed	Remaining
794	175476	45248
795	175687	45025
796	175894	44801
797	176100	44576
798	176304	44351
799	176506	44126
800	176707	43901
801	176909	43675
802	177112	43450
803	177310	43225
804	177516	43001
805	177720	42776
806	177929	42553
807	178125	42326
808	178329	42102
809	178530	41877
810	178740	41654
811	179026	41449
812	179281	41237
813	179484	41012
814	179755	40803
815	179970	40581
816	180174	40357
817	180383	40134
818	180587	39909
819	180788	39685
820	181062	39476
821	181327	39265
822	181525	39040
823	181732	38816
824	181937	38592
825	182141	38368
826	182342	38144
827	182542	37919
828	182743	37695
829	182946	37471
830	183151	37247
831	183363	37025
832	183577	36803
833	183899	36603
834	184113	36381
835	184316	36157
836	184627	35954
837	184870	35738
838	185071	35514
839	185283	35292
840	185494	35069
841	185708	34847
842	185977	34636
843	186190	34414
844	186392	34190
845	186632	33973
846	186932	33767
847	187171	33549
848	187381	33327
849	187588	33103
850	187791	32880
851	188005	32658
852	188265	32444
853	188470	32220
854	188734	32007
855	188967	31788
856	189172	31565
857	189449	31354
858	189690	31136
859	189893	30912
860	190110	30691
861	190310	30467
862	190507	30242
863	190710	30019
864	190911	29795
865	191184	29582
866	191464	29371
867	191762	29162
868	191992	28942
869	192198	28719
870	192412	28497
871	192622	28274
872	192836	28053
873	193046	27830
874	193252	27607
875	193456	27384
876	193669	27162
877	193879	26939
878	194079	26716
879	194373	26505
880	194688	26297
881	194919	26077
882	195208	25865
883	195480	25651
884	195680	25427
885	195888	25204
886	196102	24982
887	196305	24759
888	196511	24536
889	196799	24323
890	197064	24107
891	197323	23891
892	197592	23675
893	197898	23464
894	198096	23240
895	198365	23024
896	198660	22811
897	198901	22592
898	199139	22372
899	199419	22157
900	199622	21934
901	199822	21710
902	200033	21487
903	200238	21264
904	200434	21040
905	200634	20816
906	200832	20592
907	201032	20368
908	201244	20146
909	201452	19923
910	201649	19700
911	201855	19477
912	202119	19259
913	202422	19046
914	202668	18827
915	202965	18612
916	203238	18395
917	203442	18172
918	203642	17948
919	203846	17725
920	204046	17502
921	204316	17284
922	204522	17062
923	204721	16838
924	204919	16615
925	205116	16391
926	205318	16168
927	205521	15945
928	205727	15723
929	205933	15500
930	206131	15277
931	206328	15054
932	206528	14831
933	206735	14608
934	206934	14385
935	207131	14162
936	207327	13939
937	207530	13717
938	207730	13494
939	207927	13271
940	208131	13049
941	208385	12830
942	208690	12614
943	208972	12396
944	209283	12180
945	209568	11962
946	209954	11750
947	210289	11534
948	210611	11318
949	210915	11100
950	211244	10884
951	211570	10667
952	211854	10448
953	212111	10227
954	212404	10008
955	212665	9787
956	212988	9570
957	213222	9347
958	213428	9124
959	213748	8906
960	214076	8687
961	214424	8469
962	214710	8249
963	214968	8027
964	215193	7804
965	215431	7582
966	215776	7363
967	216049	7142
968	216323	6920
969	216530	6696
970	216730	6472
971	216933	6249
972	217195	6027
973	217510	5806
974	217815	5585
975	218053	5361
976	218326	5139
977	218532	4915
978	218753	4692
979	218952	4468
980	219187	4245
981	219500	4023
982	219768	3800
983	219991	3577
984	220246	3354
985	220588	3132
986	220866	2909
987	221180	2686
988	221390	2462
989	221669	2239
990	221934	2015
991	222132	1791
992	222333	1567
993	222523	1343
994	222715	1119
995	222909	895
996	223105	671
997	223313	447
998	223529	223
999	223751	0
